channel,h,var,coef,se,p,n
T,1,MxW_T,0.41343893989004976,1.0573594155450998,0.6964712675972198,2627
T,1,MxW_I,0.7898815436671587,0.7215198019478121,0.2757841590068917,2627
T,1,W_F,0.6664319365984924,0.6607929256073332,0.3151944078396508,2627
T,1,W_T,5.651072767809423,2.023351253693811,0.006066476357308108,2627
T,1,W_I,-3.1385206709868863,1.9321674027484348,0.106881503112592,2627
T,1,infl_z,-0.46825776254441576,0.714476926517617,0.5134535688615325,2627
T,1,gov_eff_z,-2.5259733285159616,2.09718786211065,0.23074430740724727,2627
T,1,growth_lag,-0.3281282303593355,0.18410180814087226,0.07718455357333695,2627
T,2,M_z,-4.603196107934249,1.6031616809418074,0.004820915364511064,2506
T,2,MxW_F,-1.7482473200883049,0.6924663886641388,0.012863987928965741,2506
T,2,MxW_T,-0.03321782035281032,1.4846233049276472,0.9821857127789714,2506
T,2,MxW_I,0.3354211307845924,1.1094559445135093,0.7629158021585908,2506
T,2,W_F,0.8194588026871625,0.9011812001482671,0.36497606652082537,2506
T,2,W_T,1.9633235886481581,2.5722872101463685,0.4467818559797828,2506
T,2,W_I,-4.8110965055670425,2.8222803553849256,0.09079866686804135,2506
T,2,infl_z,0.10532623322588132,1.0023294773585514,0.9164837496079199,2506
T,2,gov_eff_z,-3.0905259657940674,2.8916269347047034,0.2872769585137107,2506
T,2,growth_lag,-0.43550955943291997,0.1930554478253078,0.025859509608598397,2506
T,3,M_z,-4.517319289384175,2.34123531196572,0.05599576300825581,2384
T,3,MxW_F,-2.3146387612747663,0.8674985762875395,0.008662957406176635,2384
T,3,MxW_T,-0.7546168144033484,2.030714916932777,0.710834127800161,2384
T,3,MxW_I,-0.19065078503301586,1.5285381941461578,0.9009445497336106,2384
T,3,W_F,0.8990773419386627,1.1067244482974352,0.41815777580274155,2384
T,3,W_T,0.2916447938753096,3.0878055767638184,0.9249062486289369,2384
T,3,W_I,-6.572696621099975,3.787089485946418,0.08516775491093585,2384
T,3,infl_z,0.22630044343904399,1.086272819611794,0.8353207018835653,2384
T,3,gov_eff_z,-5.758501770919999,3.074919850804353,0.06349894928098271,2384
T,3,growth_lag,-0.455584550080535,0.2102846701916262,0.03221610199779698,2384
T,4,M_z,-3.122036353271966,2.9108338167858387,0.2856042231563603,2263
T,4,MxW_F,-2.306205521910387,1.1124840520008126,0.040292860382165896,2263
T,4,MxW_T,-1.052774801299539,2.425810214441119,0.665069311178444,2263
T,4,MxW_I,-0.16788317681073783,1.8813507035718227,0.9290423264867436,2263
T,4,W_F,1.536376579775401,1.3901572543631269,0.27127350448590104,2263
T,4,W_T,-0.7887959524164487,3.6956222909531005,0.8313425102200949,2263
T,4,W_I,-6.481017987690305,4.755936110895287,0.17550103547738802,2263
T,4,infl_z,0.32021441487581404,1.4978903049799552,0.8310808116573598,2263
T,4,gov_eff_z,-5.3070091926394145,3.9932264200333227,0.1863476520020215,2263
T,4,growth_lag,-0.15607935421646196,0.23477644164661643,0.5074435439359157,2263
F,-2,M_z,0.04613316999742846,0.16876329179090913,0.7850274724791645,2800
F,-2,MxW_F,0.06054034337264862,0.14536244575687038,0.6777741101069852,2800
F,-2,MxW_T,0.1992373179862362,0.1258021555572088,0.11578077506755541,2800
F,-2,MxW_I,-0.01641933890094603,0.0814549795021392,0.8405761631649823,2800
F,-2,W_F,1.1609025868578222,0.1001516496920886,1.5138083534383827e-21,2800
F,-2,W_T,-0.32478472482018683,0.2657494761127486,0.2239519220021475,2800
F,-2,W_I,-0.18989418834139427,0.1612312764525314,0.2411237521125772,2800
F,-2,infl_z,0.09666600338454688,0.0557866737601889,0.08560115740524615,2800
F,-2,gov_eff_z,0.36842561301940396,0.20399074978847972,0.07331045102448029,2800
F,-1,M_z,0.0,0.0,,2905
F,-1,MxW_F,0.0,0.0,,2905
F,-1,MxW_T,0.0,0.0,,2905
F,-1,MxW_I,0.0,0.0,,2905
F,-1,W_F,0.0,0.0,,2905
F,-1,W_T,0.0,0.0,,2905
F,-1,W_I,0.0,0.0,,2905
F,-1,infl_z,0.0,0.0,,2905
F,-1,gov_eff_z,0.0,0.0,,2905
F,0,M_z,0.06408008688892336,0.11356654780496452,0.5735940821168777,2901
F,0,MxW_F,0.15083000571435295,0.12618419605288367,0.2342263513068361,2901
F,0,MxW_T,0.15628528010789144,0.15065512194379815,0.3015654859794903,2901
F,0,MxW_I,0.04439728381539198,0.0641991665071149,0.49049898758247173,2901
F,0,W_F,0.96835445485257,0.16907524654978676,7.182388071706296e-08,2901
F,0,W_T,-0.44443459648571526,0.3206658787522383,0.16822237978450208,2901
F,0,W_I,-0.11934821880176089,0.16557226746981468,0.4723646430928542,2901
F,0,infl_z,0.21867913486404736,0.09014045444350921,0.016694876870518665,2901
F,0,gov_eff_z,0.476211637539441,0.2175832878338062,0.03048131558761922,2901
F,0,growth_lag,-0.022709402112147878,0.01764793910563464,0.20054127397435573,2901
F,1,M_z,0.05645667075984587,0.20355809824770596,0.7819701590149646,2799
F,1,MxW_F,0.15867290886295557,0.14369377688320925,0.271608663944432,2799
F,1,MxW_T,-0.011096934372158765,0.26340697199727336,0.9664634983896766,2799
F,1,MxW_I,-0.005648509109798996,0.12347715552469454,0.9635861969316557,2799
F,1,W_F,0.02910676420908581,0.13030525275820037,0.8236093202098453,2799
F,1,W_T,-1.3258264976418863,0.5682263407443182,0.02123090054145061,2799
F,1,W_I,0.05841379901014274,0.26430693817009876,0.825447243359298,2799
F,1,infl_z,0.3155391465470423,0.12475360585751046,0.01267277976545236,2799
F,1,gov_eff_z,0.3532702362869521,0.45211795190444215,0.4360638335464307,2799
F,1,growth_lag,-0.06974315735383489,0.030656852236162397,0.024611707515840055,2799
F,2,M_z,0.02853335506946799,0.3208975725118926,0.9292899159551143,2680
F,2,MxW_F,0.3144457257440939,0.16328114047001485,0.056401065742545824,2680
F,2,MxW_T,-0.18608196583652925,0.3990086976244929,0.6417690715232022,2680
F,2,MxW_I,-0.05254026085543617,0.20634230751495342,0.7994298597863436,2680
F,2,W_F,-1.2259619551855383,0.16901608171312665,3.7466094108976155e-11,2680
F,2,W_T,-2.2707405240123446,0.8062154012240517,0.005643307234795629,2680
F,2,W_I,0.1996224586222052,0.40868575221503733,0.6260871003884051,2680
F,2,infl_z,0.31724256044515897,0.1542964413085949,0.041858501089570926,2680
F,2,gov_eff_z,0.20092283514489095,0.7185215726581267,0.7802207415005371,2680
F,2,growth_lag,-0.08974229049640131,0.047271327729542366,0.059942160786411125,2680
F,3,M_z,-0.0657882460663515,0.42247697281347574,0.876504679598895,2559
F,3,MxW_F,0.4712050882538611,0.1304418400982033,0.00043793271487766795,2559
F,3,MxW_T,-0.4179151291490514,0.5164685941575696,0.41995020253222826,2559
F,3,MxW_I,-0.06791111404870162,0.29221772443320937,0.8166081775171353,2559
F,3,W_F,-2.6882354650329963,0.19091751747091884,1.4662766818397813e-27,2559
F,3,W_T,-3.1749211557962504,0.9902990996525755,0.0017088406307090823,2559
F,3,W_I,0.3787076543320219,0.5344921584945029,0.4799308856623127,2559
